id,created_at,favorite_count,retweet_count,text,entities,screen_name
1.50229E+18,2022-03-11 14:08:44+00:00,0,0,rt @to_winterops: expressways and major roads are being salted.  #cityoftowinteralert @311toronto,"{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [65, 85]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [86, 97]}], 'symbols': []}",cityoftoronto
1.50226E+18,2022-03-11 12:34:39+00:00,0,0,@to_winterops @311toronto 1st,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [14, 25]}], 'symbols': []}",UpDownROBLOX
1.50207E+18,2022-03-10 23:41:27+00:00,0,0,"rt @to_winterops: liquid salt brine is being applied to hills, bridges and roads throughout the city.  #cityoftowinteralert @311toronto","{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [103, 123]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [124, 135]}], 'symbols': []}",TO_Transport
1.5012E+18,2022-03-08 14:16:44+00:00,0,0,"to be fair, they saved a bunch of money by 'salting' sidewalks on bathurst near steeles last night.. 1 piece of sal… https://t.co/smvk01uwno","{'hashtags': [], 'urls': [{'url': 'https://t.co/smVk01uwNO', 'expanded_url': 'https://twitter.com/i/web/status/1501200248257007619', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",RessyM
1.50085E+18,2022-03-07 15:24:50+00:00,0,0,"@to_winterops
@311toronto
@joshmatlow
@ontariohba
individual holes across a 50-metre stretch from 30 roehampton to… https://t.co/t6znermrgg","{'hashtags': [], 'urls': [{'url': 'https://t.co/t6ZNeRMRGG', 'expanded_url': 'https://twitter.com/i/web/status/1500854997134815242', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [14, 25]}, {'screen_name': 'JoshMatlow', 'name': 'Josh Matlow', 'id': 15844405, 'id_str': '15844405', 'indices': [26, 37]}, {'screen_name': 'OntarioHBA', 'name': 'OHBA', 'id': 110791884, 'id_str': '110791884', 'indices': [38, 49]}], 'symbols': []}",TheCanadianMike
1.50082E+18,2022-03-07 13:09:05+00:00,1,0,@311toronto @to_winterops @weathernetwork @martaczur  please take caution on the roads. black ice has been forming.… https://t.co/ilrglny08j,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ILrGLnY08j', 'expanded_url': 'https://twitter.com/i/web/status/1500820834692308992', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [12, 25]}, {'screen_name': 'weathernetwork', 'name': 'The Weather Network', 'id': 18638090, 'id_str': '18638090', 'indices': [26, 41]}, {'screen_name': 'martaczur', 'name': 'Marta Czurylowicz TWN 🇺🇦🙏', 'id': 114238658, 'id_str': '114238658', 'indices': [42, 52]}], 'symbols': []}",FelixT2021
1.50059E+18,2022-03-06 21:41:18+00:00,0,0,@311toronto @cityoftoronto @to_transport @paulafletcherto thanks @311toronto and @to_winterops for finally clearing… https://t.co/ioejxmlelo,"{'hashtags': [], 'urls': [{'url': 'https://t.co/IoEjxmleLo', 'expanded_url': 'https://twitter.com/i/web/status/1500587350375686151', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'cityoftoronto', 'name': 'City of Toronto', 'id': 19377913, 'id_str': '19377913', 'indices': [12, 26]}, {'screen_name': 'TO_Transport', 'name': 'TO Transportation', 'id': 238984493, 'id_str': '238984493', 'indices': [27, 40]}, {'screen_name': 'PaulaFletcherTO', 'name': 'Paula Fletcher', 'id': 86320422, 'id_str': '86320422', 'indices': [41, 57]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [65, 76]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [81, 94]}], 'symbols': []}",N_FitzpatrickTO
1.49867E+18,2022-03-01 14:24:45+00:00,1,0,"@311toronto this ice needs to be cleaned up before someone falls on it and gets hurt. wtf @to_winterops 

bloor wb,… https://t.co/asnxdadwup","{'hashtags': [], 'urls': [{'url': 'https://t.co/aSnXDAdwup', 'expanded_url': 'https://twitter.com/i/web/status/1498665551106822145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [90, 103]}], 'symbols': []}",antonlodder
1.49864E+18,2022-03-01 12:39:04+00:00,0,0,"amazing except, they’ll salt it to shit with road salt in the winter. @to_winterops are you committing to not salti… https://t.co/dxf9sd0tvq","{'hashtags': [], 'urls': [{'url': 'https://t.co/dxF9sd0tvq', 'expanded_url': 'https://twitter.com/i/web/status/1498638954580660232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [70, 83]}], 'symbols': []}",BlackLabCanoe
1.49744E+18,2022-02-26 05:16:05+00:00,0,0,rt @to_winterops: clean up operations are ongoing.  sidewalks and bus stops clearing are ongoing.  #cityoftowinteralert  @311toronto,"{'hashtags': [{'text': 'CityofTOWinterAlert', 'indices': [99, 119]}], 'urls': [], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [3, 16]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [121, 132]}], 'symbols': []}",Walk_TO
