id,created_at,favorite_count,retweet_count,text,entities,screen_name,datetime_utc,datetime_est,text_no_punc,polarity,datetime_rounded,final_polarity
1.49182e+18,2022-02-10 17:17:23+00:00,0,0,rt @notsafe4bikesto: richmond contra flow lane wb from tecumseth to niagara needs clearance. today is february 10. snowstorm was on january…,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'NotSafe4BikesTO', 'name': 'NotSafe4BikesTO', 'id': 1409618028447289345, 'id_str': '1409618028447289345', 'indices': [3, 19]}], 'symbols': []}",surfacingpoint,2022-02-10 17:17:23+00:00,2022-02-10 12:17:23-05:00,rt  notsafe4bikesto  richmond contra flow lane wb from tecumseth to niagara needs clearance  today is february 10  snowstorm was on january…,0.0,2022-02-10 12:00:00-05:00,Neutral
1.49181e+18,2022-02-10 16:18:18+00:00,27,3,richmond contra flow lane wb from tecumseth to niagara needs clearance. today is february 10. snowstorm was on janu… https://t.co/t35e7cnvnm,"{'hashtags': [], 'urls': [{'url': 'https://t.co/t35e7cNvNM', 'expanded_url': 'https://twitter.com/i/web/status/1491808756979712000', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",NotSafe4BikesTO,2022-02-10 16:18:18+00:00,2022-02-10 11:18:18-05:00,richmond contra flow lane wb from tecumseth to niagara needs clearance  today is february 10  snowstorm was on janu… https   t co t35e7cnvnm,0.0,2022-02-10 11:00:00-05:00,Neutral
1.49177e+18,2022-02-10 14:02:32+00:00,0,0,@cityoftoronto @to_winterops @bradmbradford after weeks of no snow plow service in the east end south of danforth;… https://t.co/viziri6xi8,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ViZirI6xI8', 'expanded_url': 'https://twitter.com/i/web/status/1491774587025211393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'cityoftoronto', 'name': 'City of Toronto', 'id': 19377913, 'id_str': '19377913', 'indices': [0, 14]}, {'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [15, 28]}, {'screen_name': 'BradMBradford', 'name': 'Brad Bradford✌️', 'id': 207603568, 'id_str': '207603568', 'indices': [29, 43]}], 'symbols': []}",muckypawdotca,2022-02-10 14:02:32+00:00,2022-02-10 09:02:32-05:00, cityoftoronto  to winterops  bradmbradford after weeks of no snow plow service in the east end south of danforth … https   t co viziri6xi8,-1.2,2022-02-10 09:00:00-05:00,Negative
1.4917e+18,2022-02-10 09:13:31+00:00,0,0,@311toronto shocked the city thinks 3am is a good time to dispatch noisy snow clearing vehicles to king and shaw ar… https://t.co/gsesegtywa,"{'hashtags': [], 'urls': [{'url': 'https://t.co/gSeSegTywA', 'expanded_url': 'https://twitter.com/i/web/status/1491701853603651584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}], 'symbols': []}",alessiamu,2022-02-10 09:13:31+00:00,2022-02-10 04:13:31-05:00, 311toronto shocked the city thinks 3am is a good time to dispatch noisy snow clearing vehicles to king and shaw ar… https   t co gsesegtywa,-0.10000000000000009,2022-02-10 04:00:00-05:00,Negative
1.49164e+18,2022-02-10 05:13:54+00:00,0,0,rt @chinawindow2: china window congratulate chinese  #teamchina for winning its first gold medal at the #beijing2022  winter olympic games.…,"{'hashtags': [{'text': 'TeamChina', 'indices': [53, 63]}, {'text': 'Beijing2022', 'indices': [104, 116]}], 'urls': [], 'user_mentions': [{'screen_name': 'CHINAWINDOW2', 'name': 'CHINA WINDOW', 'id': 1093037651769376768, 'id_str': '1093037651769376768', 'indices': [3, 16]}], 'symbols': []}",uhDtMWXYCRfyA9e,2022-02-10 05:13:54+00:00,2022-02-10 00:13:54-05:00,rt  chinawindow2  china window congratulate chinese   teamchina for winning its first gold medal at the  beijing2022  winter olympic games …,6.699999999999999,2022-02-10 00:00:00-05:00,Postive
1.49153e+18,2022-02-09 21:44:09+00:00,0,0,@to_winterops @311toronto balmy avenue m4e1c7 has never been plowed and i can’t figure out how to submit a request… https://t.co/qgwazekoyl,"{'hashtags': [], 'urls': [{'url': 'https://t.co/QgwazEkOyL', 'expanded_url': 'https://twitter.com/i/web/status/1491528371423039490', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}, {'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [14, 25]}], 'symbols': []}",ClaireChelsea8,2022-02-09 21:44:09+00:00,2022-02-09 16:44:09-05:00, to winterops  311toronto balmy avenue m4e1c7 has never been plowed and i can’t figure out how to submit a request… https   t co qgwazekoyl,0.0,2022-02-09 17:00:00-05:00,Neutral
1.49151e+18,2022-02-09 20:44:04+00:00,11,0,"@311toronto @tpsoperations i'm talking about ""friendly tows"" that are done so snow can be cleared. this was done in… https://t.co/wkyto2wzki","{'hashtags': [], 'urls': [{'url': 'https://t.co/wkyTo2wzki', 'expanded_url': 'https://twitter.com/i/web/status/1491513249099128835', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': '311Toronto', 'name': '311 Toronto', 'id': 24201621, 'id_str': '24201621', 'indices': [0, 11]}, {'screen_name': 'TPSOperations', 'name': 'Toronto Police Operations', 'id': 463933187, 'id_str': '463933187', 'indices': [12, 26]}], 'symbols': []}",NotSafe4BikesTO,2022-02-09 20:44:04+00:00,2022-02-09 15:44:04-05:00, 311toronto  tpsoperations i m talking about  friendly tows  that are done so snow can be cleared  this was done in… https   t co wkyto2wzki,2.6,2022-02-09 16:00:00-05:00,Postive
1.49147e+18,2022-02-09 17:50:09+00:00,0,0,@to_winterops  keewatin ave e of mt pleasant after 3 wks is finally getting it's snow piles removed. we have cars p… https://t.co/4b4acsh6id,"{'hashtags': [], 'urls': [{'url': 'https://t.co/4B4AcSH6id', 'expanded_url': 'https://twitter.com/i/web/status/1491469483487203338', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'TO_WinterOps', 'name': 'TO Winter Operations', 'id': 2319261674, 'id_str': '2319261674', 'indices': [0, 13]}], 'symbols': []}",AKD329,2022-02-09 17:50:09+00:00,2022-02-09 12:50:09-05:00, to winterops  keewatin ave e of mt pleasant after 3 wks is finally getting it s snow piles removed  we have cars p… https   t co 4b4acsh6id,2.3,2022-02-09 13:00:00-05:00,Postive
1.49076e+18,2022-02-07 18:34:55+00:00,0,0,rt @matthewjharvey: the ttc bus stop at dundas/auckland is plowed but not the miway stop. this makes an awful and unsafe experience for miw…,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'matthewjharvey', 'name': 'Matthew Harvey', 'id': 250369931, 'id_str': '250369931', 'indices': [3, 18]}], 'symbols': []}",arahman97,2022-02-07 18:34:55+00:00,2022-02-07 13:34:55-05:00,rt  matthewjharvey  the ttc bus stop at dundas auckland is plowed but not the miway stop  this makes an awful and unsafe experience for miw…,-4.4,2022-02-07 14:00:00-05:00,Negative
1.49075e+18,2022-02-07 18:19:52+00:00,0,1,the ttc bus stop at dundas/auckland is plowed but not the miway stop. this makes an awful and unsafe experience for… https://t.co/clfbidbzld,"{'hashtags': [], 'urls': [{'url': 'https://t.co/cLFBiDbZlD', 'expanded_url': 'https://twitter.com/i/web/status/1490752187403841536', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",matthewjharvey,2022-02-07 18:19:52+00:00,2022-02-07 13:19:52-05:00,the ttc bus stop at dundas auckland is plowed but not the miway stop  this makes an awful and unsafe experience for… https   t co clfbidbzld,-4.4,2022-02-07 13:00:00-05:00,Negative
